LAST SEEN   TYPE      REASON                            OBJECT                                                                           MESSAGE
33m         Normal    DeletedExternalResource           subnetgroup/crossplane-apg-serverless-z6clj-jpzmz                                Successfully requested deletion of external resource
40m         Warning   CannotInitializeManagedResource   subnetgroup/crossplane-apg-serverless-z6clj-jpzmz                                Operation cannot be fulfilled on subnetgroups.rds.aws.upbound.io "crossplane-apg-serverless-z6clj-jpzmz": the object has been modified; please apply your changes to the latest version and try again
59m         Warning   CannotResolveResourceReferences   securitygrouprule/crossplane-apg-serverless-z6clj-sgxt7                          cannot resolve references: mg.Spec.ForProvider.SecurityGroupID: referenced field was empty (referenced resource may not yet be ready)
57m         Normal    CreatedExternalResource           securitygrouprule/crossplane-apg-serverless-z6clj-sgxt7                          Successfully requested creation of external resource
42m         Normal    DeletedExternalResource           securitygrouprule/crossplane-apg-serverless-z6clj-sgxt7                          Successfully requested deletion of external resource
46m         Normal    SelectComposition                 xcrossplaneapgserverless/crossplane-apg-serverless-z6clj                         Successfully selected composition
57m         Normal    DeletedExternalResource           clusterinstance/crossplane-apg-serverless-zq686-48fnz                            Successfully requested deletion of external resource
56m         Normal    DeletedExternalResource           subnetgroup/crossplane-apg-serverless-zq686-ps5zz                                Successfully requested deletion of external resource
58m         Normal    DeletedExternalResource           cluster/crossplane-apg-serverless-zq686-wpvsl                                    Successfully requested deletion of external resource
59m         Normal    DeletedExternalResource           securitygroup/crossplane-apg-serverless-zq686-xjvtf                              Successfully requested deletion of external resource
43m         Normal    DeleteCompositeResource           crossplaneapgserverless/crossplane-apg-serverless                                Successfully deleted composite resource
20m         Normal    ConfigureCompositeResource        crossplaneapgserverless/crossplane-apg-serverless                                Successfully applied composite resource
43m         Normal    BindCompositeResource             crossplaneapgserverless/crossplane-apg-serverless                                Composite resource is not yet ready
20m         Normal    BindCompositeResource             crossplaneapgserverless/crossplane-apg-serverless                                Successfully bound composite resource
4m41s       Warning   CannotResolveResourceReferences   securitygrouprule/crossplane-memorydb-bm5gr-4cb4n                                cannot resolve references: mg.Spec.ForProvider.SecurityGroupID: referenced field was empty (referenced resource may not yet be ready)
